concern,argument
long_term_effects,True. But what are the short term and long term side effects.? 
long_term_effects,You could be right. But what if the long term e
long_term_effects,You could be right. You do make sense but what if the long term effect turns out to be deadly 
long_term_effects,Vaccine long term affects 
long_term_effects,I don't think it has been around for long enough
long_term_effects,Once again it only got emergency approval....where are the long term affect data
long_term_effects,I'm not talking about temporary side effects Im talking about long lasting ones
long_term_effects,As I said Im not talking about short term side effects Im talking about long term ones
long_term_effects,I also dont think this vaccine has been around long enough to know if it's safe
long_term_effects,I'm worried about the potential long-term side effects.
long_term_effects,"The vaccine was rolled out very quickly in the grand scheme of things, so I don't believe scientists truly know what long-term effects could be."
long_term_effects,There hasn't been enough time to effectively test the vaccine and establish it's long-term effects on the human body. There have been a substantial amount of reported side effects which is very worrying. 
long_term_effects,"Vaccines take years to create, this was rushed and therefore, the data collected cannot state what the long term effects are."
long_term_effects,Because the effects of long term havent been proven
long_term_effects,"yes thats true on both cases, but why should i trust whatever the people making the vaccine to have the best interest in it for me in the long run when i personally dont know the materials used in the vaccine, so to me the effects of covid 19 could just be the effects of a flu and be done and over with, when the effects of a vaccine could be long term worse in 10 years or whatever like that. the vaccines i have taken before such as the flu vaccines; ended up making me more sick for a short time then the flu would of normally."
long_term_effects,"wont have to worry about it for now, though but how long is that really gunna last, could be tomorrow a new one that pops up and isnt just as easily treatable"
long_term_effects,"Because I believe that these vaccines have been rushed through development a little too hastily, and not enough time has been established to identify any long term side affects or other problems. Plus I have concerns about the 'no-liability' clause."
long_term_effects,It has not had the long term effects tested 
long_term_effects,The risks of long COVID are smaller than the risk from the vaccine
long_term_effects,"It's too soon, unknown side effects and unknown how long it's effective for"
long_term_effects,I’m worried about the long term side effects of which we cannot be certain of until some time has passed
long_term_effects,what about long term side effects?
long_term_effects,"However, the vaccine doesn't offer the protection for long enough for the herd community to fully develop on a long term basis"
long_term_effects,i do believe that but vaccines usually take years to develope to ensure their long term safety
long_term_effects,How can they know about long term side effects in years to come 
long_term_effects,Ive seen this explanation before of the long term effects but they never state the long term side effects caused by the vaccine in some people
long_term_effects, Hi who knows what the long term side effects are for example with child bearing woman later down the line 
long_term_effects,have you considered long term effects?
long_term_effects,Long term hasn't been tested 
long_term_effects,Concern about long term safety 
long_term_effects,Because I don’t know about the long term effects and I don’t want to sign my life away 
long_term_effects,I understand that but we do not know long term side effects. you cannot buy time
long_term_effects,It's new and hasn't been around long
long_term_effects,I would because of the potential long term effects of the vaccine
long_term_effects,Long term affects won’t be known for a long time. 
long_term_effects,That’s also a hypothetical argument. Despite the differences there could still be long term health implications that are currently unknown. 
long_term_effects,But we still don’t know how often everyone would need to be vaccinated abs how long immunity lasts. 
long_term_effects,What about the long term side effects?
long_term_effects,The long term effects were still not studied
long_term_effects,I would be worried about long term effects 
long_term_effects,Said it before it is not safe or known the long term effects
long_term_effects,I do not want to take a COVID-19 vaccine once one becomes available to me because this vaccine has not been tested for an extented period of time and we do not know the side effects that people will maybe get in a couple of years
long_term_effects,Because the vaccine might not last long
long_term_effects,Effects not known over a long period of time
long_term_effects,they developed it way too quickly and under duress so its difficult to trust the long term effects
long_term_effects,what if multiple years down the line the effects of the vaccine are worse than covid
long_term_effects,I think that it’ll cause side effects in the long term 
long_term_effects,So you agree with me that the long term effects are unknown. Please don’t try to persuade me otherwise 
long_term_effects,I worry about the unknown long term effects 
long_term_effects,It hasn’t been around long enough to know whether or not there are any long term symptoms 
long_term_effects,If you do not know about any long term effects then why release the vaccine? Is that not just creating a bigger risk for everyone who takes the vaccine?
long_term_effects,"The vaccine hasn’t been tested enough for anyone to say that I won’t have to worry about my health, it could have severe long term effects that have not yet been identified "
long_term_effects,Covid has been around for a while now so if there were any long term effects it would mainly be to do with the respiratory system as thats the area the virus attacks. 
long_term_effects,It could cause problems in years time
long_term_effects,I know but it’s not been tested for long
long_term_effects,i mean long term side effects
long_term_effects,"the vaccine was developed so fast, even with known ingredients long term side effects are possible"
long_term_effects,Because we don't know what effects it may have as not been out long enough.
long_term_effects,long term side effects thgough!!
long_term_effects,but you cannot test on long term side effects no matter how many stages are done simultaneously
long_term_effects,no we do not know the long term side effects 
